1;farming
2;biota
3;boundaries
4;climatologyMeterologyAtmosphere
5;economy
6;elevation
7;environment
8;geoscientificInformation
9;health
10;imageryBaseMapsEarthCover
11;intelligenceMilitary
12;inlandWaters
13;location
14;oceans
15;planningCadastre
16;society
17;structure
18;transportation
19;utilitiesCommunication
21;disaster
